Код,Номер распоряжения,Заказчик,ИНН Заказчика,Подрядчик,ИНН Подрядчика,Район,Адрес,Вид ограничения,Вид работ,Дата начала ограничения,Дата окончания ограничения,Дата снятия ограничения,Уточнение срока,Документы,Мониторинг,Основание,ПСП,МСК,Административное дело
288393,1660-зд от 22.08.2017,ооо 'бонава санкт-петербург',7841322136,ооо 'бонава санкт-петербург',7841322136,петроградский,ул.академика павлова от пр.медиков до аптекарского пр.),полное закрытие дв,работы по размещению временного ограждения,20170825,20220914,20220916,"(этапы 1,2,3 последовательно)",http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=214276&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=288393&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e285648&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=2349&p3=234&p4=288393,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=582&p3=53&p4=288393,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e288393&msk=0&t=1
305731,193-зд от 20.02.2018,ооо 'меандр',7813370716,ооо 'меандр',7813370716,адмиралтейский,ул.глинки (от ул.декабристов до южного проезда театральной площади),огранич.движения,-,20180227,20180531,20180723,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=245391&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=305731&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=2583&p3=238&p4=305731,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=635&p3=72&p4=305731,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e305731&msk=0&t=1
305732,194-зд от 20.02.2018,ооо 'меандр',7813370716,ооо 'меандр',7813370716,адмиралтейский,"г.санкт-петербург, северный проезд вдоль консерватории",полное закрытие дв,-,20180227,20180531,20180723,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=245391&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=305732&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=2821&p3=238&p4=305732,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=707&p3=70&p4=305732,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e305732&msk=0&t=1
305734,195-зд от 20.02.2018,ооо 'меандр',7813370716,ооо 'меандр',7813370716,адмиралтейский,"г.санкт-петербург, восточный проезд театральной площади",полное закрытие дв,-,20180227,20180531,20180723,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=245391&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=305734&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=3059&p3=234&p4=305734,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=777&p3=53&p4=305734,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e305734&msk=0&t=1
305739,196-зд от 20.02.2018,ооо 'меандр',7813370716,ооо 'меандр',7813370716,адмиралтейский,"г.санкт-петербург, южный проезд вдоль консерватории",полное закрытие дв,-,20180227,20180531,20180723,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=245391&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=305739&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=3293&p3=234&p4=305739,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=830&p3=53&p4=305739,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e305739&msk=0&t=1
317436,1164-зд от 01.06.2018,оао 'метрострой',7813046910,оао 'метрострой',7813046910,василеостровский,"/ул.кораблестроителей (г.санкт-петербург) ((боковой проезд, нечетная сторона) от капитанской ул. до адмиральского проезда)",полное закрытие дв,-,20180604,20181011,20181106,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=262722&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=317436&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=3527&p3=234&p4=317436,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=883&p3=51&p4=317436,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e317436&msk=0&t=1
321390,1540-зд от 12.07.2018,ооо 'рск воссоздание',7842021501,ооо 'рск воссоздание',7842021501,адмиралтейский,ул.глинки ((четная сторона) от пр.римского-корсакова до театральной пл.),огранич.движения,-,20180716,20190521,20190813,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=276527&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=321390&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=3761&p3=234&p4=321390,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=934&p3=51&p4=321390,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e321390&msk=0&t=1
321506,1541-зд от 12.07.2018,ооо 'рск воссоздание',7842021501,ооо 'рск воссоздание',7842021501,адмиралтейский,театральная пл. (от ул.глинки до восточного проезда театральной пл.),огранич.движения,-,20180716,20190521,20190813,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=276527&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=321506&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=3995&p3=234&p4=321506,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=985&p3=53&p4=321506,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e321506&msk=0&t=1
315866,1608-зд от 18.07.2018,ооо 'меандр',7813370716,ооо 'меандр',7813370716,адмиралтейский,ул.глинки от ул.декабристов до южного проезда театральной площади),огранич.движения,работы по размещению временного ограждения,20180723,20190521,20220526,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=277627&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=315866&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e298427&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=4229&p3=234&p4=315866,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1038&p3=53&p4=315866,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e315866&msk=0&t=1
315871,1607-зд от 18.07.2018,ооо 'меандр',7813370716,ооо 'меандр',7813370716,адмиралтейский,"г.санкт-петербург, северный проезд вдоль консерватории",полное закрытие дв,работы по размещению временного ограждения,20180723,20190521,20220526,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=277627&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=315871&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e298427&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=4463&p3=234&p4=315871,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1091&p3=53&p4=315871,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e315871&msk=0&t=1
315894,1606-зд от 18.07.2018,ооо 'меандр',7813370716,ооо 'меандр',7813370716,адмиралтейский,"г.санкт-петербург, восточный проезд театральной площади",полное закрытие дв,работы по размещению временного ограждения,20180723,20190521,20220526,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=277627&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=315894&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e298427&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=4697&p3=234&p4=315894,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1144&p3=55&p4=315894,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e315894&msk=0&t=1
315905,1605-зд от 18.07.2018,ооо 'меандр',7813370716,ооо 'меандр',7813370716,адмиралтейский,"г.санкт-петербург, южный проезд вдоль консерватории",полное закрытие дв,работы по размещению временного ограждения,20180723,20190521,20220526,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=277627&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=315905&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e298427&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=4931&p3=234&p4=315905,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1199&p3=55&p4=315905,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e315905&msk=0&t=1
322943,1791-зд от 31.07.2018,ано 'арена-2018',7704279496,ано 'арена-2018',7704279496,петроградский,/южная дор. (г.санкт-петербург) от теннисной аллеи до футбольной аллеи),закрытие одного напр,работы по размещению временного ограждения,20180804,20180930,20220215,закрывается направление движения транспорта от теннисной аллеи к футбольной аллее,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=280760&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=322943&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e315378&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=5165&p3=234&p4=322943,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1254&p3=53&p4=322943,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e322943&msk=0&t=1
322947,1790-зд от 31.07.2018,ано 'арена-2018',7704279496,ано 'арена-2018',7704279496,петроградский,футбольная аллея от северной дороги до южной дороги),полное закрытие дв,работы по размещению временного ограждения,20180804,20180930,20220215,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=280760&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=322947&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e315378&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=5399&p3=234&p4=322947,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1307&p3=53&p4=322947,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e322947&msk=0&t=1
322948,1789-зд от 31.07.2018,ано 'арена-2018',7704279496,ано 'арена-2018',7704279496,петроградский,северная дор. от велосипедной аллеи до футбольной аллеи),закрытие одного напр,работы по размещению временного ограждения,20180804,20180930,20220215,закрывается направление движения транспорта от велосипедной аллеи к футбольной аллее,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=280760&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=322948&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e315378&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=5633&p3=234&p4=322948,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1360&p3=53&p4=322948,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e322948&msk=0&t=1
323239,1836-зд от 03.08.2018,ооо 'еврострой-развитие',7813570948,ооо 'еврострой-развитие',7813570948,адмиралтейский,малодетскосельский пр. (у д. 40),огранич.движения,-,20180807,20190627,20190813,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=281131&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=323239&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=5867&p3=234&p4=323239,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1413&p3=55&p4=323239,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e323239&msk=0&t=1
327643,2237-зд от 12.09.2018,ооо 'геоизол',7811077889,ооо 'геоизол',7811077889,пушкинский,"г.санкт-петербург, г.пушкин, проезд без названия от академического пр. до фермской дороги",полное закрытие дв,-,20180916,20190808,20191227,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=290956&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=327643&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=6101&p3=254&p4=327643,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1468&p3=136&p4=327643,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e327643&msk=0&t=1
329954,2373-зд от 02.10.2018,ооо 'ренессанс',7811180727,ооо 'ренессанс',7811180727,невский,ул.дыбенко (от октябрьской наб. до дальневосточного пр.),огранич.движения,-,20181005,20200930,20190529,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=296186&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=329954&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=6355&p3=238&p4=329954,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1604&p3=72&p4=329954,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e329954&msk=0&t=1
330788,2417-зд от 08.10.2018,ооо 'спб реновация',7841415782,ооо 'спб реновация',7841415782,курортный,ул.новостроек (посёлок песочный) (от д.74 до д.82),полное закрытие дв,-,20181011,20190906,20190910,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=298240&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=330788&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=6593&p3=234&p4=330788,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1676&p3=58&p4=330788,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e330788&msk=0&t=1
331670,2491-зд от 16.10.2018,ооо 'строй-мастер',7802366549,ооо 'строй-мастер',7802366549,калининский,ул.комиссара смирнова (от лесного пр. до ул.академика лебедева),огранич.движения,-,20181019,20190814,20200115,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=300170&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=331670&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=6827&p3=234&p4=331670,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1734&p3=53&p4=331670,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e331670&msk=0&t=1
333016,2586-зд от 30.10.2018,оао 'метрострой',7813046910,оао 'метрострой',7813046910,адмиралтейский,минский пер. (от ул.декабристов до ул.союза печатников),закрытие одного напр,-,20181103,20181128,20190114,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=304444&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=333016&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=7061&p3=234&p4=333016,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1787&p3=55&p4=333016,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e333016&msk=0&t=1
333017,2587-зд от 30.10.2018,оао 'метрострой',7813046910,оао 'метрострой',7813046910,адмиралтейский,ул.декабристов (от лермонтовского пр. до минского пер.),огранич.движения,-,20181103,20181128,20190114,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=304444&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=333017&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=7295&p3=238&p4=333017,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1842&p3=72&p4=333017,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e333017&msk=0&t=1
333019,2590-зд от 30.10.2018,оао 'метрострой',7813046910,оао 'метрострой',7813046910,адмиралтейский,наб.крюкова кан. (у ул.декабристов),огранич.движения,-,20181103,20181128,20190114,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=304443&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=333019&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=7533&p3=234&p4=333019,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1914&p3=53&p4=333019,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e333019&msk=0&t=1
333021,2589-зд от 30.10.2018,оао 'метрострой',7813046910,оао 'метрострой',7813046910,адмиралтейский,ул.декабристов (от наб.крюкова канала до лермонтовского пр.),огранич.движения,-,20181103,20181128,20190114,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=304443&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=333021&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=7767&p3=243&p4=333021,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=1967&p3=88&p4=333021,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e333021&msk=0&t=1
333022,2588-зд от 30.10.2018,оао 'метрострой',7813046910,оао 'метрострой',7813046910,адмиралтейский,пер.матвеева (у ул.декабристов),огранич.движения,-,20181103,20181128,20190114,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=304443&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=333022&t=1,-,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=8010&p3=238&p4=333022,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=2055&p3=68&p4=333022,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e333022&msk=0&t=1
333023,2591-зд от 30.10.2018,оао 'метрострой',7813046910,оао 'метрострой',7813046910,василеостровский,"/ул.кораблестроителей (г.санкт-петербург) (боковой проезд, нечетная сторона) от капитанской ул. до адмиральского проезда)",полное закрытие дв,работы по размещению временного ограждения,20181103,20190531,20240304,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=304442&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=333023&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e329353&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=8248&p3=238&p4=333023,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=2123&p3=72&p4=333023,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e333023&msk=0&t=1
336501,2804-зд от 30.11.2018,спб гку 'дирекция транспортного строительства',7825342390,спб гку 'дирекция транспортного строительства',7825342390,приморский,туристская ул. от ул. оптиков до мебельной ул.),полное закрытие дв,работы по размещению временного ограждения,20181203,20181231,20230930,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=315332&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=336501&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e211322&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=8486&p3=234&p4=336501,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=2195&p3=56&p4=336501,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e336501&msk=0&t=1
